StockCode,cluster_name,recommended_zone,picking_priority,actual_distance_saved,business_recommendation
23196,Active/Regular Products,Zone B,845426,,Keep in an easily accessible zone for regular picking.
84832,Active/Regular Products,Zone B,845004,,Keep in an easily accessible zone for regular picking.
23320,Active/Regular Products,Zone B,844821,,Keep in an easily accessible zone for regular picking.
22754,Active/Regular Products,Zone B,843486,,Keep in an easily accessible zone for regular picking.
22738,Active/Regular Products,Zone B,841225,,Keep in an easily accessible zone for regular picking.
84406B,Active/Regular Products,Zone B,839504,,Keep in an easily accessible zone for regular picking.
84949,Active/Regular Products,Zone B,839260,,Keep in an easily accessible zone for regular picking.
22815,Active/Regular Products,Zone B,838036,,Keep in an easily accessible zone for regular picking.
48188,Active/Regular Products,Zone B,837466,,Keep in an easily accessible zone for regular picking.
22896,Active/Regular Products,Zone B,836928,,Keep in an easily accessible zone for regular picking.
21380,Active/Regular Products,Zone B,834620,,Keep in an easily accessible zone for regular picking.
22819,Active/Regular Products,Zone B,834570,,Keep in an easily accessible zone for regular picking.
22644,Active/Regular Products,Zone B,832416,,Keep in an easily accessible zone for regular picking.
23000,Active/Regular Products,Zone B,830942,,Keep in an easily accessible zone for regular picking.
21509,Active/Regular Products,Zone B,829398,,Keep in an easily accessible zone for regular picking.
23583,Active/Regular Products,Zone B,829075,,Keep in an easily accessible zone for regular picking.
85199S,Active/Regular Products,Zone B,823455,,Keep in an easily accessible zone for regular picking.
22816,Active/Regular Products,Zone B,823270,,Keep in an easily accessible zone for regular picking.
84032B,Active/Regular Products,Zone B,822120,,Keep in an easily accessible zone for regular picking.
23350,Active/Regular Products,Zone B,821975,,Keep in an easily accessible zone for regular picking.
22798,Active/Regular Products,Zone B,821559,,Keep in an easily accessible zone for regular picking.
23265,Active/Regular Products,Zone B,820107,,Keep in an easily accessible zone for regular picking.
22156,Active/Regular Products,Zone B,818688,,Keep in an easily accessible zone for regular picking.
23082,Active/Regular Products,Zone B,818532,,Keep in an easily accessible zone for regular picking.
21259,Active/Regular Products,Zone B,816240,,Keep in an easily accessible zone for regular picking.
23247,Active/Regular Products,Zone B,812052,,Keep in an easily accessible zone for regular picking.
22904,Active/Regular Products,Zone B,811103,,Keep in an easily accessible zone for regular picking.
21108,Active/Regular Products,Zone B,810104,,Keep in an easily accessible zone for regular picking.
22995,Active/Regular Products,Zone B,809438,,Keep in an easily accessible zone for regular picking.
21507,Active/Regular Products,Zone B,806436,,Keep in an easily accessible zone for regular picking.
20992,Active/Regular Products,Zone B,805239,,Keep in an easily accessible zone for regular picking.
85014A,Active/Regular Products,Zone B,805088,,Keep in an easily accessible zone for regular picking.
21340,Active/Regular Products,Zone B,804460,,Keep in an easily accessible zone for regular picking.
22028,Active/Regular Products,Zone B,802768,,Keep in an easily accessible zone for regular picking.
20978,Active/Regular Products,Zone B,796890,,Keep in an easily accessible zone for regular picking.
22563,Active/Regular Products,Zone B,795511,,Keep in an easily accessible zone for regular picking.
22358,Active/Regular Products,Zone B,791775,,Keep in an easily accessible zone for regular picking.
23126,Active/Regular Products,Zone B,790938,,Keep in an easily accessible zone for regular picking.
23184,Active/Regular Products,Zone B,790152,,Keep in an easily accessible zone for regular picking.
22435,Active/Regular Products,Zone B,789754,,Keep in an easily accessible zone for regular picking.
22534,Active/Regular Products,Zone B,789003,,Keep in an easily accessible zone for regular picking.
23165,Active/Regular Products,Zone B,788200,,Keep in an easily accessible zone for regular picking.
23177,Active/Regular Products,Zone B,787917,,Keep in an easily accessible zone for regular picking.
23323,Active/Regular Products,Zone B,787332,,Keep in an easily accessible zone for regular picking.
22170,Active/Regular Products,Zone B,784930,,Keep in an easily accessible zone for regular picking.
22274,Active/Regular Products,Zone B,782310,,Keep in an easily accessible zone for regular picking.
22571,Active/Regular Products,Zone B,781558,,Keep in an easily accessible zone for regular picking.
22755,Active/Regular Products,Zone B,780861,,Keep in an easily accessible zone for regular picking.
47593B,Active/Regular Products,Zone B,780815,,Keep in an easily accessible zone for regular picking.
21257,Active/Regular Products,Zone B,780390,,Keep in an easily accessible zone for regular picking.
21098,Active/Regular Products,Zone B,776488,,Keep in an easily accessible zone for regular picking.
22737,Active/Regular Products,Zone B,774928,,Keep in an easily accessible zone for regular picking.
23306,Active/Regular Products,Zone B,774215,,Keep in an easily accessible zone for regular picking.
22906,Active/Regular Products,Zone B,773080,,Keep in an easily accessible zone for regular picking.
84050,Active/Regular Products,Zone B,770816,,Keep in an easily accessible zone for regular picking.
35961,Active/Regular Products,Zone B,770308,,Keep in an easily accessible zone for regular picking.
22494,Active/Regular Products,Zone B,769790,,Keep in an easily accessible zone for regular picking.
23191,Active/Regular Products,Zone B,769659,,Keep in an easily accessible zone for regular picking.
22971,Active/Regular Products,Zone B,768400,,Keep in an easily accessible zone for regular picking.
22432,Active/Regular Products,Zone B,767844,,Keep in an easily accessible zone for regular picking.
21116,Active/Regular Products,Zone B,767809,,Keep in an easily accessible zone for regular picking.
22301,Active/Regular Products,Zone B,767340,,Keep in an easily accessible zone for regular picking.
85049G,Active/Regular Products,Zone B,767034,,Keep in an easily accessible zone for regular picking.
23052,Active/Regular Products,Zone B,766168,,Keep in an easily accessible zone for regular picking.
22653,Active/Regular Products,Zone B,765750,,Keep in an easily accessible zone for regular picking.
21498,High-Volume Products,Zone A,765744,,Place closer to packing area due to high product movement.
21327,Active/Regular Products,Zone B,763812,,Keep in an easily accessible zone for regular picking.
21428,Active/Regular Products,Zone B,762944,,Keep in an easily accessible zone for regular picking.
84596G,Active/Regular Products,Zone B,762930,,Keep in an easily accessible zone for regular picking.
21179,Active/Regular Products,Zone B,762090,,Keep in an easily accessible zone for regular picking.
22991,Active/Regular Products,Zone B,756514,,Keep in an easily accessible zone for regular picking.
21810,Active/Regular Products,Zone B,756000,,Keep in an easily accessible zone for regular picking.
22030,Active/Regular Products,Zone B,755966,,Keep in an easily accessible zone for regular picking.
22295,Active/Regular Products,Zone B,755250,,Keep in an easily accessible zone for regular picking.
21756,Active/Regular Products,Zone B,755190,,Keep in an easily accessible zone for regular picking.
23503,Active/Regular Products,Zone B,755090,,Keep in an easily accessible zone for regular picking.
23367,Active/Regular Products,Zone B,753786,,Keep in an easily accessible zone for regular picking.
22064,Active/Regular Products,Zone B,753366,,Keep in an easily accessible zone for regular picking.
22768,Active/Regular Products,Zone B,752960,,Keep in an easily accessible zone for regular picking.
22846,Active/Regular Products,Zone B,751712,,Keep in an easily accessible zone for regular picking.
22690,Active/Regular Products,Zone B,750405,,Keep in an easily accessible zone for regular picking.
85048,Active/Regular Products,Zone B,748287,,Keep in an easily accessible zone for regular picking.
21704,Active/Regular Products,Zone B,747720,,Keep in an easily accessible zone for regular picking.
22840,Active/Regular Products,Zone B,747147,,Keep in an easily accessible zone for regular picking.
23109,Active/Regular Products,Zone B,746916,,Keep in an easily accessible zone for regular picking.
21787,Active/Regular Products,Zone B,745767,,Keep in an easily accessible zone for regular picking.
23238,Active/Regular Products,Zone B,745554,,Keep in an easily accessible zone for regular picking.
22089,Active/Regular Products,Zone B,745008,,Keep in an easily accessible zone for regular picking.
23234,Active/Regular Products,Zone B,743191,,Keep in an easily accessible zone for regular picking.
84510A,Active/Regular Products,Zone B,741856,,Keep in an easily accessible zone for regular picking.
21811,Active/Regular Products,Zone B,741370,,Keep in an easily accessible zone for regular picking.
23158,Active/Regular Products,Zone B,740775,,Keep in an easily accessible zone for regular picking.
22818,Active/Regular Products,Zone B,740540,,Keep in an easily accessible zone for regular picking.
21716,Active/Regular Products,Zone B,740540,,Keep in an easily accessible zone for regular picking.
23076,Active/Regular Products,Zone B,739867,,Keep in an easily accessible zone for regular picking.
23144,Active/Regular Products,Zone B,739526,,Keep in an easily accessible zone for regular picking.
22065,Active/Regular Products,Zone B,738183,,Keep in an easily accessible zone for regular picking.
51014A,Active/Regular Products,Zone B,736359,,Keep in an easily accessible zone for regular picking.
20970,Active/Regular Products,Zone B,735696,,Keep in an easily accessible zone for regular picking.
22622,Active/Regular Products,Zone B,735318,,Keep in an easily accessible zone for regular picking.
20983,Active/Regular Products,Zone B,734856,,Keep in an easily accessible zone for regular picking.
22772,Active/Regular Products,Zone B,730758,,Keep in an easily accessible zone for regular picking.
23332,Active/Regular Products,Zone B,729267,,Keep in an easily accessible zone for regular picking.
22329,Active/Regular Products,Zone B,728518,,Keep in an easily accessible zone for regular picking.
21041,Active/Regular Products,Zone B,727515,,Keep in an easily accessible zone for regular picking.
84997A,Active/Regular Products,Zone B,726180,,Keep in an easily accessible zone for regular picking.
22814,Active/Regular Products,Zone B,725680,,Keep in an easily accessible zone for regular picking.
21880,Active/Regular Products,Zone B,725520,,Keep in an easily accessible zone for regular picking.
22917,Active/Regular Products,Zone B,724560,,Keep in an easily accessible zone for regular picking.
23570,Active/Regular Products,Zone B,723672,,Keep in an easily accessible zone for regular picking.
17003,High-Volume Products,Zone A,722736,58.0,Place closer to packing area due to high product movement.
22920,Active/Regular Products,Zone B,721886,,Keep in an easily accessible zone for regular picking.
20963,Active/Regular Products,Zone B,721808,,Keep in an easily accessible zone for regular picking.
20982,Active/Regular Products,Zone B,718080,,Keep in an easily accessible zone for regular picking.
84509A,Active/Regular Products,Zone B,717830,,Keep in an easily accessible zone for regular picking.
22919,Active/Regular Products,Zone B,717120,,Keep in an easily accessible zone for regular picking.
M,Active/Regular Products,Zone B,716431,,Keep in an easily accessible zone for regular picking.
22918,Active/Regular Products,Zone B,716380,,Keep in an easily accessible zone for regular picking.
22580,Active/Regular Products,Zone B,715860,,Keep in an easily accessible zone for regular picking.
84792,Active/Regular Products,Zone B,714565,,Keep in an easily accessible zone for regular picking.
20961,Active/Regular Products,Zone B,714552,,Keep in an easily accessible zone for regular picking.
22916,Active/Regular Products,Zone B,713607,,Keep in an easily accessible zone for regular picking.
21967,Active/Regular Products,Zone B,712936,,Keep in an easily accessible zone for regular picking.
23254,Active/Regular Products,Zone B,712517,,Keep in an easily accessible zone for regular picking.
20828,Active/Regular Products,Zone B,712155,,Keep in an easily accessible zone for regular picking.
20682,Active/Regular Products,Zone B,710289,,Keep in an easily accessible zone for regular picking.
22669,Active/Regular Products,Zone B,709956,,Keep in an easily accessible zone for regular picking.
23197,Active/Regular Products,Zone B,708903,,Keep in an easily accessible zone for regular picking.
22741,Active/Regular Products,Zone B,707854,,Keep in an easily accessible zone for regular picking.
21786,Active/Regular Products,Zone B,706250,,Keep in an easily accessible zone for regular picking.
22781,Active/Regular Products,Zone B,705976,,Keep in an easily accessible zone for regular picking.
23078,Active/Regular Products,Zone B,704951,,Keep in an easily accessible zone for regular picking.
21519,Active/Regular Products,Zone B,704298,,Keep in an easily accessible zone for regular picking.
23100,Active/Regular Products,Zone B,702124,,Keep in an easily accessible zone for regular picking.
22335,Active/Regular Products,Zone B,699300,,Keep in an easily accessible zone for regular picking.
23118,Active/Regular Products,Zone B,696858,,Keep in an easily accessible zone for regular picking.
35471D,Active/Regular Products,Zone B,695537,,Keep in an easily accessible zone for regular picking.
85227,Active/Regular Products,Zone B,693530,,Keep in an easily accessible zone for regular picking.
22303,Active/Regular Products,Zone B,692955,,Keep in an easily accessible zone for regular picking.
22775,Active/Regular Products,Zone B,691566,,Keep in an easily accessible zone for regular picking.
22596,Active/Regular Products,Zone B,690894,,Keep in an easily accessible zone for regular picking.
48111,Active/Regular Products,Zone B,690612,,Keep in an easily accessible zone for regular picking.
22972,Active/Regular Products,Zone B,690435,,Keep in an easily accessible zone for regular picking.
22374,Active/Regular Products,Zone B,690408,,Keep in an easily accessible zone for regular picking.
21718,Active/Regular Products,Zone B,688374,,Keep in an easily accessible zone for regular picking.
20981,Active/Regular Products,Zone B,687987,,Keep in an easily accessible zone for regular picking.
23166,High-Volume Products,Zone A,687895,,Place closer to packing area due to high product movement.
22530,Active/Regular Products,Zone B,687117,,Keep in an easily accessible zone for regular picking.
21715,Active/Regular Products,Zone B,686301,,Keep in an easily accessible zone for regular picking.
23534,Active/Regular Products,Zone B,685620,,Keep in an easily accessible zone for regular picking.
22115,Active/Regular Products,Zone B,683088,,Keep in an easily accessible zone for regular picking.
21890,Active/Regular Products,Zone B,683067,,Keep in an easily accessible zone for regular picking.
23012,Active/Regular Products,Zone B,678714,,Keep in an easily accessible zone for regular picking.
23112,Active/Regular Products,Zone B,677692,,Keep in an easily accessible zone for regular picking.
22714,Active/Regular Products,Zone B,674325,,Keep in an easily accessible zone for regular picking.
22076,Active/Regular Products,Zone B,672750,,Keep in an easily accessible zone for regular picking.
22574,Active/Regular Products,Zone B,672438,,Keep in an easily accessible zone for regular picking.
22965,Active/Regular Products,Zone B,672128,,Keep in an easily accessible zone for regular picking.
22398,Active/Regular Products,Zone B,672080,,Keep in an easily accessible zone for regular picking.
21381,Active/Regular Products,Zone B,672000,,Keep in an easily accessible zone for regular picking.
22573,Active/Regular Products,Zone B,671177,,Keep in an easily accessible zone for regular picking.
22441,Active/Regular Products,Zone B,671016,,Keep in an easily accessible zone for regular picking.
23005,Active/Regular Products,Zone B,670944,,Keep in an easily accessible zone for regular picking.
23571,Active/Regular Products,Zone B,668971,,Keep in an easily accessible zone for regular picking.
22567,Active/Regular Products,Zone B,668886,,Keep in an easily accessible zone for regular picking.
21411,Active/Regular Products,Zone B,668052,,Keep in an easily accessible zone for regular picking.
22753,Active/Regular Products,Zone B,667492,,Keep in an easily accessible zone for regular picking.
23229,Active/Regular Products,Zone B,667136,,Keep in an easily accessible zone for regular picking.
22801,Active/Regular Products,Zone B,665280,,Keep in an easily accessible zone for regular picking.
23080,Active/Regular Products,Zone B,662546,,Keep in an easily accessible zone for regular picking.
23110,Active/Regular Products,Zone B,661470,,Keep in an easily accessible zone for regular picking.
20996,Active/Regular Products,Zone B,659475,,Keep in an easily accessible zone for regular picking.
22024,Active/Regular Products,Zone B,659235,,Keep in an easily accessible zone for regular picking.
21878,Active/Regular Products,Zone B,659008,,Keep in an easily accessible zone for regular picking.
22550,Active/Regular Products,Zone B,658812,,Keep in an easily accessible zone for regular picking.
21531,Active/Regular Products,Zone B,658542,,Keep in an easily accessible zone for regular picking.
23004,Active/Regular Products,Zone B,658359,,Keep in an easily accessible zone for regular picking.
21991,Active/Regular Products,Zone B,658320,,Keep in an easily accessible zone for regular picking.
22222,Active/Regular Products,Zone B,658008,,Keep in an easily accessible zone for regular picking.
21313,Active/Regular Products,Zone B,657622,,Keep in an easily accessible zone for regular picking.
22421,Active/Regular Products,Zone B,657105,,Keep in an easily accessible zone for regular picking.
22713,Active/Regular Products,Zone B,656425,,Keep in an easily accessible zone for regular picking.
22736,Active/Regular Products,Zone B,656066,,Keep in an easily accessible zone for regular picking.
23310,High-Volume Products,Zone A,655865,56.0,Place closer to packing area due to high product movement.
23302,Active/Regular Products,Zone B,655730,,Keep in an easily accessible zone for regular picking.
22813,Active/Regular Products,Zone B,654872,,Keep in an easily accessible zone for regular picking.
22437,Active/Regular Products,Zone B,653592,,Keep in an easily accessible zone for regular picking.
22978,Active/Regular Products,Zone B,652834,,Keep in an easily accessible zone for regular picking.
85049C,Active/Regular Products,Zone B,652288,,Keep in an easily accessible zone for regular picking.
22614,Active/Regular Products,Zone B,651306,,Keep in an easily accessible zone for regular picking.
22747,Active/Regular Products,Zone B,651263,,Keep in an easily accessible zone for regular picking.
23083,Active/Regular Products,Zone B,650670,,Keep in an easily accessible zone for regular picking.
21917,Active/Regular Products,Zone B,650250,,Keep in an easily accessible zone for regular picking.
21984,Active/Regular Products,Zone B,650204,,Keep in an easily accessible zone for regular picking.
23176,Active/Regular Products,Zone B,650202,,Keep in an easily accessible zone for regular picking.
22422,Active/Regular Products,Zone B,649645,,Keep in an easily accessible zone for regular picking.
23089,Active/Regular Products,Zone B,648675,,Keep in an easily accessible zone for regular picking.
22241,Active/Regular Products,Zone B,647929,,Keep in an easily accessible zone for regular picking.
22623,Active/Regular Products,Zone B,647425,,Keep in an easily accessible zone for regular picking.
21090,Active/Regular Products,Zone B,642971,,Keep in an easily accessible zone for regular picking.
20733,Active/Regular Products,Zone B,642675,,Keep in an easily accessible zone for regular picking.
84969,Active/Regular Products,Zone B,642390,,Keep in an easily accessible zone for regular picking.
22360,Active/Regular Products,Zone B,642000,,Keep in an easily accessible zone for regular picking.
23167,Active/Regular Products,Zone B,641487,,Keep in an easily accessible zone for regular picking.
22672,Active/Regular Products,Zone B,640356,,Keep in an easily accessible zone for regular picking.
22796,Active/Regular Products,Zone B,640088,,Keep in an easily accessible zone for regular picking.
22994,Active/Regular Products,Zone B,639830,,Keep in an easily accessible zone for regular picking.
22855,Active/Regular Products,Zone B,637530,,Keep in an easily accessible zone for regular picking.
22792,Active/Regular Products,Zone B,636128,,Keep in an easily accessible zone for regular picking.
22997,Active/Regular Products,Zone B,634920,,Keep in an easily accessible zone for regular picking.
22207,Active/Regular Products,Zone B,631904,,Keep in an easily accessible zone for regular picking.
20668,High-Volume Products,Zone A,631240,55.0,Place closer to packing area due to high product movement.
21508,Active/Regular Products,Zone B,630693,,Keep in an easily accessible zone for regular picking.
85131D,Active/Regular Products,Zone B,629330,,Keep in an easily accessible zone for regular picking.
21714,Active/Regular Products,Zone B,628200,,Keep in an easily accessible zone for regular picking.
21561,Active/Regular Products,Zone B,627498,,Keep in an easily accessible zone for regular picking.
22743,Active/Regular Products,Zone B,626858,,Keep in an easily accessible zone for regular picking.
21902,Active/Regular Products,Zone B,626640,,Keep in an easily accessible zone for regular picking.
22366,Active/Regular Products,Zone B,625460,,Keep in an easily accessible zone for regular picking.
22460,Active/Regular Products,Zone B,624349,,Keep in an easily accessible zone for regular picking.
22493,Active/Regular Products,Zone B,624140,,Keep in an easily accessible zone for regular picking.
22999,Active/Regular Products,Zone B,623820,,Keep in an easily accessible zone for regular picking.
23147,Active/Regular Products,Zone B,623529,,Keep in an easily accessible zone for regular picking.
21937,Active/Regular Products,Zone B,623484,,Keep in an easily accessible zone for regular picking.
23582,Active/Regular Products,Zone B,622895,,Keep in an easily accessible zone for regular picking.
21803,Active/Regular Products,Zone B,622314,,Keep in an easily accessible zone for regular picking.
23194,Active/Regular Products,Zone B,619744,,Keep in an easily accessible zone for regular picking.
21124,Active/Regular Products,Zone B,619200,,Keep in an easily accessible zone for regular picking.
22982,Active/Regular Products,Zone B,619040,,Keep in an easily accessible zone for regular picking.
23368,Active/Regular Products,Zone B,618512,,Keep in an easily accessible zone for regular picking.
21746,Active/Regular Products,Zone B,617658,,Keep in an easily accessible zone for regular picking.
21539,Active/Regular Products,Zone B,617372,,Keep in an easily accessible zone for regular picking.
21012,Active/Regular Products,Zone B,615507,,Keep in an easily accessible zone for regular picking.
23154,Active/Regular Products,Zone B,614290,,Keep in an easily accessible zone for regular picking.
22466,Active/Regular Products,Zone B,614042,,Keep in an easily accessible zone for regular picking.
22433,Active/Regular Products,Zone B,614035,,Keep in an easily accessible zone for regular picking.
22921,Active/Regular Products,Zone B,611534,,Keep in an easily accessible zone for regular picking.
22800,Active/Regular Products,Zone B,611030,,Keep in an easily accessible zone for regular picking.
23286,Active/Regular Products,Zone B,609612,,Keep in an easily accessible zone for regular picking.
22377,Active/Regular Products,Zone B,609408,,Keep in an easily accessible zone for regular picking.
21832,Active/Regular Products,Zone B,608850,,Keep in an easily accessible zone for regular picking.
22088,Active/Regular Products,Zone B,608566,,Keep in an easily accessible zone for regular picking.
22974,Active/Regular Products,Zone B,607920,,Keep in an easily accessible zone for regular picking.
23148,Active/Regular Products,Zone B,607867,,Keep in an easily accessible zone for regular picking.
23292,Active/Regular Products,Zone B,606948,,Keep in an easily accessible zone for regular picking.
22548,Active/Regular Products,Zone B,605473,,Keep in an easily accessible zone for regular picking.
23013,Active/Regular Products,Zone B,604330,,Keep in an easily accessible zone for regular picking.
21390,Active/Regular Products,Zone B,603140,,Keep in an easily accessible zone for regular picking.
22943,Active/Regular Products,Zone B,602965,,Keep in an easily accessible zone for regular picking.
22897,Active/Regular Products,Zone B,602405,,Keep in an easily accessible zone for regular picking.
22601,Active/Regular Products,Zone B,600200,,Keep in an easily accessible zone for regular picking.
22610,Active/Regular Products,Zone B,600048,,Keep in an easily accessible zone for regular picking.
23159,Active/Regular Products,Zone B,599870,,Keep in an easily accessible zone for regular picking.
47504K,Active/Regular Products,Zone B,599324,,Keep in an easily accessible zone for regular picking.
23283,Active/Regular Products,Zone B,598344,,Keep in an easily accessible zone for regular picking.
22074,Active/Regular Products,Zone B,597796,,Keep in an easily accessible zone for regular picking.
22807,Active/Regular Products,Zone B,594165,,Keep in an easily accessible zone for regular picking.
22594,Active/Regular Products,Zone B,592900,,Keep in an easily accessible zone for regular picking.
22211,Active/Regular Products,Zone B,592704,,Keep in an easily accessible zone for regular picking.
23399,Active/Regular Products,Zone B,589500,,Keep in an easily accessible zone for regular picking.
22593,Active/Regular Products,Zone B,589248,,Keep in an easily accessible zone for regular picking.
23389,Active/Regular Products,Zone B,588234,,Keep in an easily accessible zone for regular picking.
85132C,Active/Regular Products,Zone B,587002,,Keep in an easily accessible zone for regular picking.
22839,Active/Regular Products,Zone B,584307,,Keep in an easily accessible zone for regular picking.
21774,Active/Regular Products,Zone B,583296,,Keep in an easily accessible zone for regular picking.
22075,Active/Regular Products,Zone B,582600,,Keep in an easily accessible zone for regular picking.
21068,Active/Regular Products,Zone B,582516,,Keep in an easily accessible zone for regular picking.
22600,Active/Regular Products,Zone B,581316,,Keep in an easily accessible zone for regular picking.
22562,Active/Regular Products,Zone B,580039,,Keep in an easily accessible zone for regular picking.
21623,Active/Regular Products,Zone B,575926,,Keep in an easily accessible zone for regular picking.
22300,Active/Regular Products,Zone B,574868,,Keep in an easily accessible zone for regular picking.
75049L,Active/Regular Products,Zone B,574000,,Keep in an easily accessible zone for regular picking.
22439,Active/Regular Products,Zone B,573073,,Keep in an easily accessible zone for regular picking.
20751,Active/Regular Products,Zone B,573012,,Keep in an easily accessible zone for regular picking.
22634,Active/Regular Products,Zone B,572982,,Keep in an easily accessible zone for regular picking.
22584,Active/Regular Products,Zone B,572320,,Keep in an easily accessible zone for regular picking.
22465,Active/Regular Products,Zone B,571428,,Keep in an easily accessible zone for regular picking.
23014,Active/Regular Products,Zone B,570152,,Keep in an easily accessible zone for regular picking.
22491,Active/Regular Products,Zone B,569619,,Keep in an easily accessible zone for regular picking.
85184C,Active/Regular Products,Zone B,569157,,Keep in an easily accessible zone for regular picking.
22841,Active/Regular Products,Zone B,569136,,Keep in an easily accessible zone for regular picking.
22809,Active/Regular Products,Zone B,568752,,Keep in an easily accessible zone for regular picking.
22956,Active/Regular Products,Zone B,568656,,Keep in an easily accessible zone for regular picking.
20674,Active/Regular Products,Zone B,567850,,Keep in an easily accessible zone for regular picking.
21866,Active/Regular Products,Zone B,567806,,Keep in an easily accessible zone for regular picking.
23393,Active/Regular Products,Zone B,567691,,Keep in an easily accessible zone for regular picking.
48129,Active/Regular Products,Zone B,567030,,Keep in an easily accessible zone for regular picking.
23290,Active/Regular Products,Zone B,566030,,Keep in an easily accessible zone for regular picking.
23163,Active/Regular Products,Zone B,565554,,Keep in an easily accessible zone for regular picking.
22485,Active/Regular Products,Zone B,565552,,Keep in an easily accessible zone for regular picking.
22531,Active/Regular Products,Zone B,565200,,Keep in an easily accessible zone for regular picking.
22676,Active/Regular Products,Zone B,564762,,Keep in an easily accessible zone for regular picking.
21922,Active/Regular Products,Zone B,564512,,Keep in an easily accessible zone for regular picking.
22055,Active/Regular Products,Zone B,562540,,Keep in an easily accessible zone for regular picking.
22805,Active/Regular Products,Zone B,562380,,Keep in an easily accessible zone for regular picking.
23382,Active/Regular Products,Zone B,561880,,Keep in an easily accessible zone for regular picking.
21658,Active/Regular Products,Zone B,560528,,Keep in an easily accessible zone for regular picking.
23242,Active/Regular Products,Zone B,560038,,Keep in an easily accessible zone for regular picking.
22094,Active/Regular Products,Zone B,559200,,Keep in an easily accessible zone for regular picking.
22078,Active/Regular Products,Zone B,558720,,Keep in an easily accessible zone for regular picking.
84828,Active/Regular Products,Zone B,556192,,Keep in an easily accessible zone for regular picking.
22597,Active/Regular Products,Zone B,556140,,Keep in an easily accessible zone for regular picking.
23329,Active/Regular Products,Zone B,555705,,Keep in an easily accessible zone for regular picking.
22968,Active/Regular Products,Zone B,555282,,Keep in an easily accessible zone for regular picking.
23535,Active/Regular Products,Zone B,554915,,Keep in an easily accessible zone for regular picking.
22135,Active/Regular Products,Zone B,554900,,Keep in an easily accessible zone for regular picking.
21802,Active/Regular Products,Zone B,553320,,Keep in an easily accessible zone for regular picking.
21986,Active/Regular Products,Zone B,552636,,Keep in an easily accessible zone for regular picking.
22628,Active/Regular Products,Zone B,551760,,Keep in an easily accessible zone for regular picking.
23397,Active/Regular Products,Zone B,551180,,Keep in an easily accessible zone for regular picking.
23002,Active/Regular Products,Zone B,551040,,Keep in an easily accessible zone for regular picking.
85049H,Active/Regular Products,Zone B,550160,,Keep in an easily accessible zone for regular picking.
22767,Active/Regular Products,Zone B,548270,,Keep in an easily accessible zone for regular picking.
84536B,Active/Regular Products,Zone B,548062,,Keep in an easily accessible zone for regular picking.
22915,Active/Regular Products,Zone B,545560,,Keep in an easily accessible zone for regular picking.
22357,Active/Regular Products,Zone B,545040,,Keep in an easily accessible zone for regular picking.
22649,Active/Regular Products,Zone B,544600,,Keep in an easily accessible zone for regular picking.
20829,Active/Regular Products,Zone B,544170,,Keep in an easily accessible zone for regular picking.
22187,Active/Regular Products,Zone B,543744,,Keep in an easily accessible zone for regular picking.
22107,Active/Regular Products,Zone B,543444,,Keep in an easily accessible zone for regular picking.
23333,Active/Regular Products,Zone B,542657,,Keep in an easily accessible zone for regular picking.
23101,Active/Regular Products,Zone B,542511,,Keep in an easily accessible zone for regular picking.
22975,Active/Regular Products,Zone B,542376,,Keep in an easily accessible zone for regular picking.
22426,Active/Regular Products,Zone B,542256,,Keep in an easily accessible zone for regular picking.
22812,Active/Regular Products,Zone B,542235,,Keep in an easily accessible zone for regular picking.
23395,Active/Regular Products,Zone B,541590,,Keep in an easily accessible zone for regular picking.
22210,Active/Regular Products,Zone B,541365,,Keep in an easily accessible zone for regular picking.
22773,Active/Regular Products,Zone B,541103,,Keep in an easily accessible zone for regular picking.
23146,Active/Regular Products,Zone B,539352,,Keep in an easily accessible zone for regular picking.
23480,Active/Regular Products,Zone B,537930,,Keep in an easily accessible zone for regular picking.
22930,Active/Regular Products,Zone B,537705,,Keep in an easily accessible zone for regular picking.
22758,Active/Regular Products,Zone B,536670,,Keep in an easily accessible zone for regular picking.
23287,Active/Regular Products,Zone B,536580,,Keep in an easily accessible zone for regular picking.
23426,Active/Regular Products,Zone B,536424,,Keep in an easily accessible zone for regular picking.
22733,Active/Regular Products,Zone B,536234,,Keep in an easily accessible zone for regular picking.
10133,Active/Regular Products,Zone B,535668,,Keep in an easily accessible zone for regular picking.
85176,Active/Regular Products,Zone B,535608,,Keep in an easily accessible zone for regular picking.
22732,Active/Regular Products,Zone B,532980,,Keep in an easily accessible zone for regular picking.
72351B,Active/Regular Products,Zone B,532704,,Keep in an easily accessible zone for regular picking.
23156,Active/Regular Products,Zone B,531565,,Keep in an easily accessible zone for regular picking.
22674,Active/Regular Products,Zone B,530893,,Keep in an easily accessible zone for regular picking.
21745,Active/Regular Products,Zone B,530292,,Keep in an easily accessible zone for regular picking.
22278,Active/Regular Products,Zone B,530084,,Keep in an easily accessible zone for regular picking.
22572,Active/Regular Products,Zone B,530019,,Keep in an easily accessible zone for regular picking.
21243,Active/Regular Products,Zone B,528360,,Keep in an easily accessible zone for regular picking.
21955,Active/Regular Products,Zone B,527772,,Keep in an easily accessible zone for regular picking.
22651,Active/Regular Products,Zone B,525470,,Keep in an easily accessible zone for regular picking.
22302,Active/Regular Products,Zone B,525124,,Keep in an easily accessible zone for regular picking.
